,date_occured,time_occured,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude
23713,1965-12-09,16:00,fairmont,wa,us,other,10,10seconds,In 1965 i was 9 years old and me and mt sister saw a fire ball craft tha looked like a acorn shaped craft somewhat like a bell with sim,2011-12-12,47.9930556,-122.8647222
23714,1965-12-09,16:30,mantua,nj,us,cigar,120,2minutes,an object like an airplane fusilage without wings  flames from it were going up not&#44  i repeat&#44 not trailing the object,2004-07-25,39.7938889,-75.1725
23715,1965-12-09,16:48,enfield,ct,us,circle,120,2 minutes,Charting a UFO and identifying its points of origin.,2008-08-12,41.9761111,-72.59222220000001
23716,1965-12-09,16:48,enfield,ct,us,circle,120,2 minutes,Coincidence with later Sighting in 1982 in Great Falls&#44 Montana that seems to have been totally removed from the publics view.,2008-08-12,41.9761111,-72.59222220000001
23717,1965-12-09,16:48,enfield,ct,us,fireball,120,2 minutes,Giant FireBall streams across the evening sky of Enfield Connecticut&#44 was Hartford responsible&#44 was Mark Twain given a final send -off&#33,2008-07-05,41.9761111,-72.59222220000001
23718,1965-12-09,17:00,enfield,ct,us,fireball,300,5 minutes,Possible sighting of the Kecksburg UFO,2006-10-30,41.9761111,-72.59222220000001
23719,1965-12-09,17:00,middletown,ct,us,fireball,120,2 min.,fireball the size of the house  on 12/29/1965 about 5:00 pm,2009-03-19,41.5622222,-72.6511111
23720,1965-12-09,24:00,grand island,ny,,fireball,10,~5 to 10 seconds,WE SAW  A PERFECT VIEW OF THE KECKSBURG COMET.,2013-08-30,43.021628,-78.96573000000001
23721,1965-12-09,24:00,newtown square,pa,us,fireball,6120000,1700hrs,DEC 1965  NEWTOWN SQUARE PENN   FLAMING BURNING OBJECT   MOVING ACROSS THE SKY VERY LOW AND SLOW,2006-07-16,39.9866667,-75.40138890000001
23722,1968-01-29,18:00,carpinteria (santa barbara county),ca,us,sphere,600,10 minutes,witnesses watched 3 large sphere move slowly to the West&#44 hover and then each disappear.,2000-06-06,34.3988889,-119.5175
23723,1978-12-09,19:00,ringwood,nj,us,triangle,180,3minutes,Triangular aircraft sighted from Virginia to NY State in &#3978,2005-04-16,41.1133333,-74.2458333
23724,1980-12-09,24:00,santa monica,ca,us,disk,600,10 min.,It said U.s. and eighter Air For or something official. It was official looking nontheless.,1998-11-19,34.0194444,-118.49027779999999
23725,1986-01-29,20:00,old fort,nc,,rectangle,120,2 minutes,Orange rectangle.,2013-05-15,35.629009,-82.18066999999999
23726,1986-01-29,21:30,victor,mt,us,circle,300,5 min,large light and expelled 2 smaller round lights&#442 sm descended to the ground the large moved slow over the barn and moved out into the,1999-05-24,46.4166667,-114.14916670000001
23727,1987-01-29,03:00,kingston/amherst view (canada),on,,disk,900,10-15 min,close  really close,2008-08-12,44.223329,-76.650818
23728,1987-01-29,22:00,las vegas,nv,us,disk,10800,3 hrs.,TWO UFO&#39S SPEND NIGHT ON MOUNTAIN&#44 SEEN THE NEXT DAY IN PLAIN DAYLIGHT,2006-05-15,36.1750000,-115.1363889
23729,1989-12-09,21:00,cork (republic of ireland),,,changing,1200,20 mins,bright diamond band on the lower rim&#44coloured . blue mist,2000-06-06,51.896892,-8.486316
23730,1989-01-29,23:00,montgomery,il,us,unknown,5,3-5seconds,This happened 15 years ago. I had just finished helping my girlfriend move into her new home&#44 and was heading home myself. I was travel,2004-01-31,41.7305556,-88.3458333
24008,1968-01-30,01:00,dayton,oh,us,disk,600,10 minutes,Very large white saucer&#44 chased by B-52 near Wright Patterson Air force base.,2013-07-03,39.7588889,-84.1916667
24009,1974-01-30,23:00,san diego,ca,us,unknown,10,10 seconds,Something very large and silent passed overhead - heard but not seen.  ((NUFORC Note:  Possibly the sound of wing vortices.  PD)),2006-12-07,32.7152778,-117.1563889
24010,1987-01-30,13:00,east meadow,ny,us,changing,1020,15 - 17 min,ON 03/18107 photos of a black ufo&#44 that changed shape as it went from west to east&#44 were taken by my webcam.,2007-04-27,40.7138889,-73.5594444
24011,1987-01-30,21:00,kenai,ak,us,light,5,5 seconds,Light quickly grows in intensity and then fades to nothing.,2007-04-27,60.5544444,-151.2583333
24132,1968-01-31,05:00,on plane wing,ny,,disk,30,30 sec.,a shinny silver disc &#44sitting on the planes wing&#44right side of the plane.,2001-10-12,40.705631,-73.978003
24133,1974-01-31,15:00,ponce (puerto rico),pr,us,sphere,900,10  to 15 minutes,The spaceship was shaped like two spheres attached by a cylinder curiously resembling dumbbells.,1999-02-16,18.0130556,-66.6144444
24134,1979-01-31,11:00,houston,tx,us,rectangle,600,10 minutes,I saw a grey rectangular patch against blue sky&#44 thru binoculars.,1999-01-28,29.7630556,-95.3630556
24135,1987-01-31,17:04,black hawk,co,us,sphere,300,about 5 min,spheroid&#44 leading edge shimmering red&#44 main body whitish yellow&#44 low altitude,2008-03-31,39.7969444,-105.49333329999999
24281,1984-01-03,13:00,fayetteville,nc,us,fireball,810,13:30,I stood there watching as the sun finally started to show its face throughthe sky&#44 a light blinded me. Then.... it was gone.,2000-07-11,35.0525000,-78.87861109999999
24469,1975-01-04,22:40,houston,tx,us,disk,60,approx 1 min.,Witnesses saw a bluish-white-light emitting spherical object on the ground a few feet from the edge of a feeder road alongside IH45 So.,1999-02-16,29.7630556,-95.3630556
24470,1976-01-04,05:30,simonstown (south africa),,,cigar,180,3 minutes,unlike anything  i had ever seen,2001-08-05,-34.193765,18.435665
24649,1970-01-05,22:00,candia,nh,us,light,60,1 minute,I was taking a late night walk on a cold calm January night. I passed between a barn and house following an old tote road used by snowm,2006-10-30,43.0777778,-71.27722220000001
24650,1972-01-05,19:30,gering,ne,us,light,180,2-3 minutes,Fast moving light&#44 darting then hovering in sky; emitted beam of light.,2005-04-16,41.8258333,-103.66
24651,1974-01-05,16:00,san antonio&#44 ibiza (spain),,,fireball,10800,3 hours,I was sitting with two friends on the sea wall of San Antonio harbour. The UFO appeared from over the horizon and flew up&#44 performed a,1999-05-24,39.02001,1.482148
24652,1976-01-05,21:00,folkestone (uk/england),,gb,disk,3600,1 hour?,Saucer shaped object&#44 flying slowly and silently&#44 with coloured lights moved towards the bright light. I signalled to it&#44,2005-05-11,51.083333,1.183333
24653,1978-01-05,24:00,warwick,ri,us,sphere,300,5 mins,Warwick&#44 Rhode Island Jan/Feb 1978 Red Orb,2000-09-17,41.7000000,-71.41666670000001
24654,1989-01-05,00:15,philadelphia,pa,us,cigar,600,10 minutes,An object followed my car parallel to me then stopped when I stopped &amp; observed me for 5 minutes.,2006-10-30,39.9522222,-75.1641667
24820,1978-01-06,01:00,westport (about 10 miles north of&#44 us hwy.1),ca,us,other,900,15 min,Three humongus craft with about 30 saucers about them loading and unloading something.,1999-01-28,39.6358333,-123.78194440000001
24821,1978-01-06,17:00,gloucester (canada),on,ca,egg,300,5 minutes,Large football shaped object with no wings&#44 no windows and lights were the wings should be&#44 very close I could clearly see it.,2014-02-07,45.4166667,-75.6
24822,1982-01-06,17:00,edwards afb,ca,,light,300,aprox 5 minutes,Late afternoon/early evening&#44 series of 3 lights&#44 equally spaced&#44 descending&#44 disappear/reappear Edwards AFB area.,2004-12-14,34.924031,-117.891208
24987,1967-01-07,21:30,woy woy (australia),,au,disk,300,5 minutes,Repeated sightings of similar UFO&#39s over a period of years always landing at one sight.,2005-05-11,-33.484329,151.32470700000002
